Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Label
21,8554358,9,110,26,0,12.22222222,10.05954494,34,0,12.53333333,14.54975045,34.83604497,2.805587515,371928.6087,964903.6111,3100191,3,5412405,676550.625,1245559.502,2733386,214,8554241,611017.2143,1190922.487,3100191,3,296,488,1.052095318,1.753492197,0,34,11.92,12.78319209,163.41,0,1,0,12.41666667,110,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,9166280,9,101,23,0,11.22222222,8.941165721,34,0,12.53333333,14.54975045,31.52860266,2.618292263,398533.913,1017897.012,3191744,3,6044118,755514.75,1357008.281,3234590,3,9166182,654727.2857,1254118.847,3191744,3,296,488,0.981859598,1.636432664,0,34,11.56,12.50359948,156.34,0,1,0,12.04166667,101,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,8786419,9,109,24,0,12.11111111,9.803627447,34,0,12.53333333,14.54975045,33.80216673,2.731488221,382018.2174,995266.9049,3200774,3,5542787,692848.375,1282983.545,2898674,49,8786275,627591.0714,1228969.896,3200774,3,296,488,1.024308083,1.707180138,0,34,11.88,12.71586935,161.6933333,0,1,0,12.375,109,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,262,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,53435.1145,11450.38168,131.0,49.49747468,166,96,262,262.0,0.0,262,262,0,0.0,0.0,0,0,64,20,7633.587786,3816.793893,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
21,8872838,9,104,22,0,11.55555556,9.166666667,34,0,12.53333333,14.54975045,32.90942537,2.704884277,385775.5652,994667.1171,3142205,3,5865246,733155.75,1341572.653,3185810,3,8872708,633764.8571,1226816.269,3142205,3,296,488,1.014331604,1.690552673,0,34,11.68,12.55560964,157.6433333,0,1,0,12.16666667,104,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,12798179,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,371.3809597,4.141214152,246118.8269,666909.3574,2568038,3,10600000,527896.5,935096.163,2616359,374,12800000,412840.2258,827694.9974,2568038,3,680,1032,1.640858438,2.500355715,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,9618822,9,106,23,0,11.77777778,9.417772796,34,0,12.53333333,14.54975045,30.56507335,2.495108029,418209.6522,1088963.19,3452133,1,6580988,822623.5,1525533.013,3495983,224,9618753,687053.7857,1344582.633,3452133,1,296,488,0.935665511,1.559442518,0,34,11.76,12.61705195,159.19,0,1,0,12.25,106,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,12553260,21,2008,640,0,95.61904762,140.0451628,976,0,88.5483871,223.315,378.6267472,4.142350274,246142.3529,642560.0104,2196295,2,10700000,533887.9,915702.4614,2263987,972,12600000,418437.9333,798832.8728,2196295,2,680,1000,1.672872226,2.469478048,0,976,89.67924528,191.0076291,36483.91437,0,1,0,91.40384615,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,9173845,9,102,25,0,11.33333333,9.178779875,34,0,12.53333333,14.54975045,31.61160887,2.616133148,398862.8261,1051241.945,3712571,3,5419290,677411.25,1252296.873,2737145,272,9173756,655268.2857,1299715.838,3712571,3,296,488,0.981049931,1.635083218,0,34,11.6,12.55985669,157.75,0,1,0,12.08333333,102,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,12670863,22,2024,640,0,92.0,138.3384394,976,0,83.18181818,217.2857356,376.3753108,4.340667246,234645.6111,642344.0226,2424203,3,10700000,509464.4286,917995.0969,2474886,3,12700000,395959.75,799884.008,2424203,3,712,1064,1.736266898,2.604400347,0,976,85.16071429,186.8941146,34929.41006,0,1,0,86.70909091,2024,29200,257,16,32,0.0,0,0,0.0,0,0,BruteForce
22,12476698,20,2008,640,0,100.4,141.9141327,976,0,83.18181818,217.2857356,380.950152,4.2479188,239936.5,665341.0363,2620216,3,9876755,519829.2105,910620.7732,2664645,3,12500000,389894.4375,817352.8789,2620216,18,648,1064,1.602988227,2.644930574,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
22,14751854,22,2008,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,322.1967896,3.660556836,278336.8679,706222.3731,2540234,3,12600000,597745.9524,978699.1435,2597618,389,14800000,475863.0645,878218.927,2540234,3,712,1032,1.49133797,2.169218866,0,976,86.41818182,188.2012015,35419.69226,0,1,0,88.01851852,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,8949020,9,103,25,0,11.44444444,9.234596785,34,0,12.53333333,14.54975045,32.51752706,2.681857902,389087.8261,1013348.097,3225002,3,5936619,742077.375,1381897.646,3268969,3,8948955,639211.0714,1251247.659,3225002,3,296,488,1.005696713,1.676161189,0,34,11.64,12.57272179,158.0733333,0,1,0,12.125,103,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,13009752,19,2008,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,365.3413224,3.843270802,265505.1429,701194.6732,2680333,3,10900000,607406.5,1013751.371,2733184,365,13000000,433653.8,859338.5456,2680333,3,616,1000,1.460442905,2.382827897,0,976,93.19607843,193.9302988,37608.96078,0,1,0,95.06,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,9115102,9,110,24,0,12.22222222,9.921917377,34,0,12.53333333,14.54975045,32.69299674,2.632993026,396308.7826,1041203.998,3511186,3,5560924,695115.5,1294726.182,3070189,241,9114982,651070.1429,1286868.356,3511186,3,296,488,0.987372385,1.645620641,0,34,11.92,12.74728729,162.4933333,0,1,0,12.41666667,110,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,282,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,49645.39007,10638.29787,141.0,55.15432893,180,102,282,282.0,0.0,282,282,0,0.0,0.0,0,0,64,20,7092.198582,3546.099291,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
21,214,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,65420.56075,14018.69159,107.0,36.76955262,133,81,214,214.0,0.0,214,214,0,0.0,0.0,0,0,64,20,9345.794393,4672.897196,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
22,13508693,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,351.8475103,3.923399547,259782.5577,711693.4837,2792459,3,11300000,566291.6,1016484.756,2864886,323,13500000,435759.1935,884258.3794,2792459,3,680,1032,1.554554538,2.36884501,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,223,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,62780.26906,13452.9148,111.5,129.400541,203,20,223,223.0,0.0,223,223,0,0.0,0.0,0,0,64,20,8968.609865,4484.304933,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
22,12836305,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,370.2778954,4.128914045,246852.0192,669023.9912,2456395,3,10700000,535448.1,947413.5729,2514826,405,12800000,414070.129,830334.5503,2456395,3,680,1032,1.63598481,2.492929235,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
22,11023721,19,2008,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,431.1611297,4.535673572,224973.898,588511.7408,2032025,3,9070719,503928.8333,837204.5677,2100838,366,11000000,367454.5667,720550.9827,2032025,3,616,1000,1.723555957,2.812117614,0,976,93.19607843,193.9302988,37608.96078,0,1,0,95.06,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
22,11663140,22,2008,640,0,91.27272727,138.1821372,976,0,83.18181818,217.2857356,407.5231884,4.715711206,215984.0741,598576.9747,2270041,3,9346432,445068.1905,813366.1083,2212863,218,11700000,364470.5938,746242.2134,2270041,3,712,1064,1.886284483,2.829426724,0,976,84.875,186.8396554,34909.05682,0,1,0,86.41818182,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,9417096,9,105,22,0,11.66666667,9.273618495,34,0,12.53333333,14.54975045,31.11362569,2.54855637,409438.9565,1069761.416,3408895,1,6132215,766526.875,1432822.584,3454528,4,9417008,672643.4286,1321368.402,3408895,1,296,488,0.955708639,1.592847731,0,34,11.72,12.58146785,158.2933333,0,1,0,12.20833333,105,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,94,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21276.59574,94.0,0.0,94,94,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,10638.29787,10638.29787,0,0,0.0,0.0,0.0,0,0,1,0.0,0,259,257,0,32,0.0,0,0,0.0,0,0,BruteForce
21,8782882,9,108,25,0,12.0,9.733961167,34,0,12.53333333,14.54975045,33.70192153,2.732588232,381864.4348,994956.1285,3216639,3,6111670,763958.75,1417014.087,3259249,3,8782753,627339.5,1228598.507,3216639,3,296,488,1.024720587,1.707867645,0,34,11.84,12.69737506,161.2233333,0,1,0,12.33333333,108,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,12397815,27,2824,640,0,104.5925926,140.1700229,976,0,145.4615385,315.0471014,685.362703,5.323518701,190735.6154,531776.2379,2221182,1,10300000,396578.5385,752122.1476,2264594,1,12400000,326255.6053,666196.5569,2221182,1,908,1292,2.177803105,3.145715596,0,976,126.8208955,256.0034283,65537.75531,0,1,0,128.7424242,2824,29200,247,19,32,0.0,0,0,0.0,0,0,BruteForce
22,11336929,21,2024,640,0,96.38095238,140.1821944,976,0,85.78125,220.240592,420.6606569,4.67498738,218017.8654,596757.112,2307696,4,9559290,477964.5,861057.5775,2364924,382,11300000,365705.6452,741402.2431,2307696,4,680,1032,1.85235349,2.82263389,0,976,88.31481481,189.6409541,35963.69147,0,1,0,89.98113208,2024,29200,257,16,32,0.0,0,0,0.0,0,0,BruteForce
22,12605476,22,2008,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,377.0583515,4.28385251,237839.1698,663953.3209,2696212,3,10600000,503484.4762,945486.4967,2766683,432,12600000,406624.5161,832665.4735,2696212,3,712,1032,1.745273245,2.538579265,0,976,86.41818182,188.2012015,35419.69226,0,1,0,88.01851852,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,8378417,9,109,24,0,12.11111111,9.803627447,34,0,12.53333333,14.54975045,35.44822369,2.864502925,364279.0,939009.4205,2986750,3,5872104,734013.0,1339447.044,3028689,529,8378293,598449.5,1158135.609,2986750,3,296,488,1.074188597,1.790314328,0,34,11.88,12.71586935,161.6933333,0,1,0,12.375,109,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,9133952,9,106,23,0,11.77777778,9.417772796,34,0,12.53333333,14.54975045,32.18760072,2.627559243,397128.3478,1037739.202,3407795,3,5681863,710232.875,1317837.949,3043238,3,9133860,652418.5714,1281833.563,3407795,3,296,488,0.985334716,1.642224527,0,34,11.76,12.61705195,159.19,0,1,0,12.25,106,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,12183767,22,2024,640,0,92.0,138.3384394,976,0,85.78125,220.240592,391.4224558,4.43212678,229882.3962,625027.7017,2236204,4,10700000,508186.5238,916420.1775,2301485,609,12200000,393019.7419,781694.1027,2236204,4,712,1032,1.805681281,2.626445499,0,976,86.70909091,188.253835,35439.5064,0,1,0,88.31481481,2024,29200,257,16,32,0.0,0,0,0.0,0,0,BruteForce
22,13126937,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,362.0798972,4.03749938,252441.0962,683981.1331,2472153,3,11300000,562658.95,995625.5821,2516525,371,13100000,423445.0,848866.2602,2472153,3,680,1032,1.599763905,2.437735475,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,8830131,9,106,23,0,11.77777778,9.497075573,34,0,12.53333333,14.54975045,33.29508928,2.717966472,383918.7391,1008310.494,3376684,3,5412442,676555.25,1261472.943,3008340,3,8830042,630717.2857,1246167.479,3376684,3,296,488,1.019237427,1.698729045,0,34,11.76,12.63685087,159.69,0,1,0,12.25,106,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,12562735,19,2008,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,378.3411813,3.98002505,256382.3469,671828.4077,2328264,3,10200000,566222.6667,934243.6298,2381631,337,12600000,418753.9,822699.083,2328264,3,616,1000,1.512409519,2.467615531,0,976,93.19607843,193.9302988,37608.96078,0,1,0,95.06,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
22,98,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20408.16327,98.0,0.0,98,98,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,10204.08163,10204.08163,0,0,0.0,0.0,0.0,0,0,1,0.0,0,259,247,0,32,0.0,0,0,0.0,0,0,BruteForce
22,13148636,24,2008,640,0,83.66666667,134.5286996,976,0,85.78125,220.240592,361.4823621,4.258996903,239066.1091,659152.8226,2384228,3,11600000,503204.5652,949641.1509,2458007,49,13100000,424144.4194,837555.5035,2384228,3,776,1032,1.825284387,2.433712516,0,976,83.38596491,185.5048858,34412.06266,0,1,0,84.875,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,225,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,62222.22222,13333.33333,112.5,44.54772721,144,81,225,225.0,0.0,225,225,0,0.0,0.0,0,0,64,20,8888.888889,4444.444444,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
21,8584694,9,118,27,0,13.11111111,11.03907202,34,0,12.53333333,14.54975045,35.64483487,2.795673323,373247.5652,956635.7306,3135780,4,5407090,675886.25,1212679.229,2766946,236,8584614,613186.7143,1179110.935,3135780,4,296,488,1.048377496,1.747295827,0,34,12.24,13.06483831,170.69,0,1,0,12.75,118,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,230,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,60869.56522,13043.47826,115.0,46.66904756,148,82,230,230.0,0.0,230,230,0,0.0,0.0,0,0,64,20,8695.652174,4347.826087,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
22,12172081,21,2008,640,0,95.61904762,140.0451628,976,0,88.5483871,223.315,390.4837636,4.272071472,238668.2549,638433.5713,2466918,3,10300000,514744.3,906161.6538,2524712,511,12200000,405731.1333,795583.0271,2466918,3,680,1000,1.725259633,2.546811839,0,976,89.67924528,191.0076291,36483.91437,0,1,0,91.40384615,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
22,11720755,23,1832,640,0,79.65217391,138.4480896,976,0,95.74074074,238.4526388,376.8528563,4.265936793,239199.0816,686265.6014,2564321,22,11700000,532761.5909,990288.6578,2609673,415,11600000,446921.4231,899221.0343,2564321,49,744,872,1.962330925,2.303605868,0,976,86.60784314,195.494765,38218.20314,0,1,0,88.34,1832,29200,247,14,32,0.0,0,0,0.0,0,0,BruteForce
21,8185083,9,113,26,0,12.55555556,10.35749863,34,0,12.53333333,14.54975045,36.77421475,2.932163302,355873.1739,912145.1172,2979123,3,5747030,718378.75,1300826.948,3023387,4,8185045,584646.0714,1124277.873,2979123,3,296,488,1.099561238,1.832602064,0,34,12.04,12.86623488,165.54,0,1,0,12.54166667,113,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,9152514,9,111,26,0,12.33333333,10.12422837,34,0,12.53333333,14.54975045,32.66861979,2.622230351,397935.3913,1003893.651,3104157,3,6002292,750286.5,1317393.943,3079704,220,9152409,653743.5,1235091.931,3104157,3,296,488,0.983336382,1.638893969,0,34,11.96,12.80130202,163.8733333,0,1,0,12.45833333,111,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,9125771,9,112,27,0,12.44444444,10.32122947,34,0,12.53333333,14.54975045,32.87393471,2.629914777,396772.6522,1038419.424,3475417,1,6123352,765419.0,1436021.572,3519886,3,9125701,651835.7857,1282889.912,3475417,1,296,488,0.986218041,1.643696735,0,34,12.0,12.85496013,165.25,0,1,0,12.5,112,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,133,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15037.59398,133.0,0.0,133,133,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,7518.796992,7518.796992,0,0,0.0,0.0,0.0,0,0,1,0.0,0,259,247,0,32,0.0,0,0,0.0,0,0,BruteForce
21,9214867,9,98,20,0,10.88888889,8.447550598,34,0,12.53333333,14.54975045,31.03680172,2.604486858,400646.3913,1059701.437,3517680,3,6911498,863937.25,1598766.948,3559756,3,9214752,658196.5714,1310672.647,3517680,3,296,488,0.976682572,1.627804286,0,34,11.44,12.39314327,153.59,0,1,0,11.91666667,98,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,8707991,9,110,25,0,12.22222222,9.984710534,34,0,12.53333333,14.54975045,34.22144097,2.756089206,378608.3043,978108.4038,2993189,3,5852024,731503.0,1344525.037,3037541,226,8707897,621992.6429,1206654.0,2993189,3,296,488,1.033533452,1.722555754,0,34,11.92,12.76362018,162.91,0,1,0,12.41666667,110,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,290,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,48275.86207,10344.82759,145.0,48.08326112,179,111,290,290.0,0.0,290,290,0,0.0,0.0,0,0,64,20,6896.551724,3448.275862,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
22,13293340,19,2008,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,357.5474636,3.761281965,271292.6531,710577.8163,2568180,3,11300000,629574.7778,1036487.571,2616532,370,13300000,443106.5667,870098.9269,2568180,3,616,1000,1.429287147,2.331994818,0,976,93.19607843,193.9302988,37608.96078,0,1,0,95.06,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
22,11406479,21,2008,640,0,95.61904762,140.0451628,976,0,83.18181818,217.2857356,416.693004,4.734151529,215216.5849,582875.4661,2060190,3,9303185,465159.25,809648.4403,2004023,309,11400000,356446.5313,719812.3036,2060190,3,680,1064,1.841058928,2.893092601,0,976,86.41818182,188.2012015,35419.69226,0,1,0,88.01851852,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,253,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,55335.96838,11857.70751,126.5,16.26345597,138,115,253,253.0,0.0,253,253,0,0.0,0.0,0,0,64,20,7905.13834,3952.56917,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
22,9990874,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,475.734155,5.304841198,192132.1923,513611.2653,1795855,4,8269821,413491.05,727224.4252,1851944,312,9990749,322282.2258,636553.7402,1795855,4,680,1032,2.101918211,3.202922988,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
22,11504207,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,413.1532056,4.607010288,221234.75,600797.2276,2291587,24,10100000,503953.6,894441.2823,2364701,500,11500000,371099.2903,745818.9904,2291587,24,680,1032,1.825419171,2.781591117,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,9653518,9,117,29,0,13.0,10.98863049,34,0,12.53333333,14.54975045,31.59469947,2.486140286,419718.1739,1095827.858,3581253,1,6029996,753749.5,1394372.245,3141473,4,9653389,689527.7857,1353459.515,3581253,1,296,488,0.932302607,1.553837679,0,34,12.2,13.04798835,170.25,0,1,0,12.70833333,117,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,10074935,9,105,24,0,11.66666667,9.513148795,34,0,12.53333333,14.54975045,29.08207348,2.382149364,438040.6522,1134512.214,3532660,3,6500186,812523.25,1488984.559,3285201,3,10100000,719632.7143,1399995.387,3532660,3,296,488,0.893306011,1.488843352,0,34,11.72,12.64093878,159.7933333,0,1,0,12.20833333,105,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
21,9785473,9,113,24,0,12.55555556,10.3091114,34,0,12.53333333,14.54975045,30.75988253,2.452615218,425455.3478,1110221.204,3709240,1,6488026,811003.25,1510211.57,3752434,1,9785362,698954.4286,1371160.548,3709240,1,296,488,0.919730707,1.532884512,0,34,12.04,12.85327455,165.2066667,0,1,0,12.54166667,113,29200,227,6,32,0.0,0,0,0.0,0,0,BruteForce
22,11485561,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,413.8239308,4.614489445,220876.1731,599215.2933,2087726,4,9533953,476697.65,847825.705,2132389,259,11500000,370499.9355,743771.898,2087726,4,680,1032,1.82838261,2.786106834,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,BruteForce
21,297,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,47138.04714,10101.0101,148.5,41.71930009,178,119,297,297.0,0.0,297,297,0,0.0,0.0,0,0,64,20,6734.006734,3367.003367,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0,BruteForce
